"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0.005,1.1,0.1,0.1,0.03864362,0.08827705,0.20399416,0.02406958,0.04655969,0.23638059,0.02575921,0.26847329,0.06428954,0.00355325,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0.005,1.1,0.0951776649746193,0.1,0.03648404,0.0781371,0.19209598,0.02226636,0.03867081,0.20863227,0.02235408,0.25217892,0.05930751,0.00322206,0.01174616,0.00425806,0.00988417,0.00112758,0.00738103,0.01056274,5.874e-05,0.0366889,0.00293937,0.0020041,0.499999999999999,0.04203013481364
0.5,0.5,0.2,0.72,0.005,1.1,0.088261253309797,0.1,0.03361727,0.06678652,0.17878064,0.02016556,0.03063771,0.18008192,0.01876143,0.237081,0.05424618,0.00286499,0.02453053,0.00804499,0.02037359,0.00226193,0.01406344,0.02019473,0.00011284,0.0773646,0.00597039,0.00405974,0.500000000000001,0.0383951682484902
0.5,0.5,0.3,0.68,0.005,1.1,0.0793291024478695,0.1,0.02985284,0.05442876,0.1634852,0.01769831,0.02283606,0.15112193,0.01505835,0.22327508,0.04902988,0.00247649,0.0381562,0.01092512,0.03111724,0.00331573,0.01953604,0.02830587,0.0001589,0.12407734,0.00904417,0.0061005,0.500000000000001,0.0346117867165575
0.5,0.5,0.4,0.64,0.005,1.1,0.0686813186813187,0.1,0.02501594,0.0414575,0.1453799,0.0148543,0.01568398,0.12218307,0.01139797,0.21072391,0.04368704,0.00206618,0.05199667,0.01239832,0.04132599,0.00415566,0.02319004,0.03417437,0.00019261,0.18000919,0.01208389,0.00802347,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0.005,1.1,0.0568181818181818,0.1,0.01906802,0.02855618,0.12333379,0.01171605,0.0096041,0.09374333,0.00799639,0.1989886,0.0383871,0.00166103,0.06458692,0.01201386,0.04940477,0.00461734,0.02437057,0.03693609,0.00020881,0.25006339,0.01502626,0.0097174,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0.005,1.1,0.0443655723158829,0.1,0.01237632,0.01680715,0.09619612,0.00847066,0.0049613,0.06641268,0.00507979,0.18652076,0.03341345,0.00129787,0.07306711,0.00963877,0.05250171,0.00454546,0.02253305,0.03562921,0.00020188,0.34133874,0.01789079,0.01111719,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0.005,1.1,0.0319693094629156,0.1,0.00597044,0.0075395,0.06372058,0.00537065,0.00193549,0.04103589,0.00280589,0.16965514,0.02918758,0.00101531,0.07241336,0.00581449,0.04643678,0.00384373,0.01750462,0.0293616,0.00016686,0.46298823,0.02093029,0.01230358,0.500000000000001,0.020506634499397
0.5,0.5,0.8,0.48,0.005,1.1,0.0201938610662359,0.1,0.00138377,0.00175877,0.02808422,0.00256428,0.00039183,0.01830383,0.00116554,0.1421835,0.02665553,0.00086563,0.05273431,0.0018575,0.02702028,0.0024178,0.00950615,0.01725365,9.885e-05,0.62669789,0.0252648,0.01379187,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0.005,1.1,0.0094553706505295,0.1,1e-08,2e-08,6.575e-05,9.32e-06,0,4.525e-05,3e-06,0.09066226,0.02666176,0.00090282,0.00027497,6.1e-07,8.292e-05,1.149e-05,2.8e-05,5.572e-05,3.4e-07,0.83153092,0.03310618,0.01655866,0.499999999999998,0.0166453265044814
0.5,0.5,0,0.8,0.005,0.975,0.1,0.1,0.24820302,0.00162056,0.49714759,0.00156982,2.65e-06,0.00162325,5.13e-06,0.24825743,0.00156808,2.48e-06,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0.005,0.975,0.0951776649746193,0.1,0.22361892,0.0011332,0.44830148,0.00086619,1.44e-06,0.00113681,2.2e-06,0.2240785,0.00086658,8.4e-07,0.03881183,6.583e-05,0.02457709,4.701e-05,6.349e-05,6.17e-05,5.5e-07,0.03627463,4.566e-05,4.606e-05,0.499999999999999,0
0.5,0.5,0.2,0.72,0.005,0.975,0.088261253309797,0.1,0.13577035,0.04647652,0.32554334,0.01725628,0.00391594,0.05607269,0.00292665,0.19463578,0.02076541,0.00054537,0.06035546,0.00586801,0.03897102,0.00204228,0.00623004,0.00663569,4.361e-05,0.07133172,0.00240967,0.00220417,0.500000000000001,0
