"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.1,0.1,0,1.137e-05,2.283e-05,0,0.10020458,0.45326646,0,0.44649476,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0,1.1,0.0951776649746193,0.1,0,1.186e-05,2.484e-05,0,0.0868861,0.4097516,0,0.42131532,0,0,9.6e-07,6.3e-07,1.25e-06,0,0.01028538,0.02057012,0,0.05115194,0,0,0.499999999999999,0.04203013481364
0.5,0.5,0.2,0.72,0,1.1,0.088261253309797,0.1,0,1.192e-05,2.646e-05,0,0.07263375,0.36313382,0,0.39571194,0,0,2.32e-06,1.4e-06,2.96e-06,0,0.02020191,0.04040242,0,0.10787112,0,0,0.500000000000001,0.0383951682484902
0.5,0.5,0.3,0.68,0,1.1,0.0793291024478695,0.1,0,1.211e-05,2.904e-05,0,0.0578886,0.31355754,0,0.36909348,0,0,4.41e-06,2.36e-06,5.42e-06,0,0.02916255,0.05832274,0,0.17192174,0,0,0.500000000000001,0.0346117867165575
0.5,0.5,0.4,0.64,0,1.1,0.0686813186813187,0.1,0,1.205e-05,3.194e-05,0,0.0433202,0.26153964,0,0.34048673,0,0,7.65e-06,3.5e-06,8.91e-06,0,0.03636887,0.07273424,0,0.24548628,0,0,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0,1.1,0.0568181818181818,0.1,0,1.145e-05,3.456e-05,0,0.02981346,0.20820275,0,0.30833075,0,0,1.269e-05,4.66e-06,1.361e-05,0,0.04084568,0.08168669,0,0.33104369,0,0,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0,1.1,0.0443655723158829,0.1,0,1.074e-05,3.804e-05,0,0.01836402,0.15560121,0,0.27020276,0,0,2.162e-05,5.93e-06,2.042e-05,0,0.04162994,0.08325394,0,0.43085137,0,0,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0,1.1,0.0319693094629156,0.1,0,7.47e-06,3.183e-05,0,0.00981013,0.10697385,0,0.22274655,0,0,2.949e-05,5.48e-06,2.282e-05,0,0.03822926,0.07645304,0,0.54569006,0,0,0.500000000000001,0.020506634499397
0.5,0.5,0.8,0.48,0,1.1,0.0201938610662359,0.1,0,4.58e-06,2.309e-05,0,0.00441559,0.06627003,0,0.16244042,0,0,3.928e-05,4.4e-06,2.184e-05,0,0.03124505,0.0624857,0,0.67305003,0,0,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0,1.1,0.0094553706505295,0.1,0,2.52e-06,1.26e-05,0,0.00164092,0.03640064,0,0.08762558,0,0,5.311e-05,3.16e-06,1.562e-05,0,0.02249707,0.04499099,0,0.80675778,0,0,0.499999999999998,0.0166453265044814
0.5,0.5,0,0.8,0,0.975,0.1,0.1,0,2.045e-05,6.081e-05,0,0.05990729,0.38141607,0,0.55859539,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.975,0.0951776649746193,0.1,0,2.067e-05,6.354e-05,0,0.05181709,0.34165648,0,0.51728353,0,0,2.33e-06,1.15e-06,3.37e-06,0,0.00905618,0.01811122,0,0.06198443,0,0,0.499999999999999,0
0.5,0.5,0.2,0.72,0,0.975,0.088261253309797,0.1,0,2.05e-05,6.66e-05,0,0.04272527,0.29856818,0,0.47773855,0,0,5.53e-06,2.52e-06,7.8e-06,0,0.01746488,0.03492724,0,0.12847293,0,0,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.975,0.0793291024478695,0.1,0,1.997e-05,7.05e-05,0,0.0330716,0.25244441,0,0.43904365,0,0,1.015e-05,4.07e-06,1.375e-05,0,0.02458243,0.04916079,0,0.20157868,0,0,0.500000000000001,0
0.5,0.5,0.4,0.64,0,0.975,0.0686813186813187,0.1,0,2.01e-05,8e-05,0,0.02350128,0.20399557,0,0.39980933,0,0,1.822e-05,6.07e-06,2.323e-05,0,0.02957916,0.05915225,0,0.28381478,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.975,0.0568181818181818,0.1,1e-08,2.111e-05,9.932e-05,0,0.01482984,0.15463427,0,0.35792354,0,0,3.477e-05,8.91e-06,4.053e-05,0,0.03151432,0.06301973,0,0.37787366,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.975,0.0443655723158829,0.1,1e-08,1.914e-05,0.00011314,0,0.00790085,0.10684883,0,0.31027939,0,0,6.153e-05,1.092e-05,6.275e-05,0,0.02960232,0.05919372,0,0.48590741,0,0,0.5,0
0.5,0.5,0.7,0.52,0,0.975,0.0319693094629156,0.1,2e-08,1.641e-05,0.00013178,0,0.00327821,0.06429162,0,0.25285169,0,0,0.00011737,1.239e-05,9.738e-05,0,0.02374042,0.04746844,0,0.60799428,0,0,0.500000000000001,0
0.5,0.5,0.8,0.48,0,0.975,0.0201938610662359,0.1,3e-08,1.177e-05,0.00014287,0,0.00089706,0.03079691,0,0.18206957,0,0,0.00023509,1.164e-05,0.00013913,0,0.01499318,0.02997472,0,0.74072805,0,0,0.499999999999999,0
0.5,0.5,0.9,0.44,0,0.975,0.0094553706505295,0.1,1.69e-06,3.289e-05,0.00080771,0,7.918e-05,0.00813844,0,0.09634454,0,0,0.0033337,4.237e-05,0.00103196,0,0.00521991,0.01039746,0,0.87457016,0,0,0.499999999999998,0
0.5,0.5,0,0.8,0,0.95,0.1,0.1,0,2.727e-05,9.021e-05,0,0.05140717,0.36052393,0,0.58795142,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.95,0.0951776649746193,0.1,0,2.614e-05,8.906e-05,0,0.04455921,0.3226495,0,0.54203138,0,0,3.21e-06,1.47e-06,4.78e-06,0,0.00864596,0.01729045,0,0.06469883,0,0,0.499999999999999,0
0.5,0.5,0.2,0.72,0,0.95,0.088261253309797,0.1,1e-08,2.844e-05,0.0001023,0,0.03666601,0.28117552,0,0.49860325,0,0,8.38e-06,3.52e-06,1.21e-05,0,0.01661312,0.03322272,0,0.13356463,0,0,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.95,0.0793291024478695,0.1,1e-08,2.813e-05,0.00011018,0,0.02816972,0.23648097,0,0.45663267,0,0,1.566e-05,5.78e-06,2.167e-05,0,0.02323982,0.04647385,0,0.20882154,0,0,0.500000000000001,0
0.5,0.5,0.4,0.64,0,0.95,0.0686813186813187,0.1,1e-08,2.741e-05,0.0001218,0,0.01971163,0.18936063,0,0.4145776,0,0,2.741e-05,8.34e-06,3.564e-05,0,0.02768679,0.05536523,0,0.29307751,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.95,0.0568181818181818,0.1,2e-08,2.839e-05,0.000151,0,0.01209242,0.1413359,0,0.37013878,0,0,5.226e-05,1.207e-05,6.205e-05,0,0.02902351,0.05803496,0,0.38906865,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.95,0.0443655723158829,0.1,3e-08,2.797e-05,0.00019162,0,0.00611975,0.09503947,0,0.31999305,0,0,0.00010313,1.606e-05,0.00010696,0,0.02651573,0.05301541,0,0.49887082,0,0,0.5,0
0.5,0.5,0.7,0.52,0,0.95,0.0319693094629156,0.1,7e-08,2.724e-05,0.00026645,0,0.00229324,0.05424466,0,0.25994141,0,0,0.00023519,2.07e-05,0.00019809,0,0.02016544,0.04031018,0,0.62229733,0,0,0.500000000000001,0
0.5,0.5,0.8,0.48,0,0.95,0.0201938610662359,0.1,1.99e-06,7.203e-05,0.00121617,0,0.00047812,0.02257789,0,0.18564922,0,0,0.00199292,7.166e-05,0.00119131,0,0.01109328,0.02211491,0,0.7535405,0,0,0.499999999999999,0
0.5,0.5,0.9,0.44,0,0.95,0.0094553706505295,0.1,0.02389327,1.8e-06,0.05000528,0,0,1.95e-06,0,0.02610012,0,0,0.41917625,2.32e-06,0.06392775,0,2.41e-06,2.5e-06,0,0.41688636,0,0,0.499999999999998,0
0.5,0.5,0,0.8,0,0.925,0.1,0.1,2e-08,5.245e-05,0.00019591,0,0.04290109,0.33649674,0,0.62035379,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.925,0.0951776649746193,0.1,1e-08,4.444e-05,0.00017021,0,0.03733637,0.30111857,0,0.56920366,0,0,6.04e-06,2.53e-06,9.23e-06,0,0.00815671,0.0163109,0,0.06764133,0,0,0.499999999999999,0
0.5,0.5,0.2,0.72,0,0.925,0.088261253309797,0.1,2e-08,4.648e-05,0.00018764,0,0.03067847,0.26172948,0,0.52140407,0,0,1.514e-05,5.82e-06,2.24e-05,0,0.01561894,0.03123207,0,0.13905947,0,0,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.925,0.0793291024478695,0.1,2e-08,4.348e-05,0.00019162,0,0.02337124,0.21883298,0,0.4757806,0,0,2.686e-05,9.01e-06,3.802e-05,0,0.02170216,0.04339531,0,0.2166087,0,0,0.500000000000001,0
0.5,0.5,0.4,0.64,0,0.925,0.0686813186813187,0.1,3e-08,4.472e-05,0.00022528,0,0.01605,0.17332747,0,0.43058034,0,0,5.004e-05,1.371e-05,6.644e-05,0,0.02555412,0.05109453,0,0.30299332,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.925,0.0568181818181818,0.1,7e-08,5.168e-05,0.00031686,0,0.0094997,0.12687735,0,0.38327608,0,0,0.00010836,2.212e-05,0.00013113,0,0.02625482,0.05248752,0,0.40097432,0,0,0.5,0
