"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.4,0.4,0,1.66e-06,1.71e-06,0,0.20615118,0.55012218,0,0.24372327,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0,1.1,0.383631713554987,0.4,0,1.87e-06,1.99e-06,0,0.18754326,0.51531865,0,0.236325,0,0,1e-07,1.1e-07,9e-08,0,0.01121369,0.02242727,0,0.02716797,0,0,0.5,0.04203013481364
0.5,0.5,0.2,0.72,0,1.1,0.359712230215827,0.4,0,1.7e-06,1.89e-06,0,0.16586966,0.4759368,0,0.22919104,0,0,2.2e-07,2.1e-07,1.9e-07,0,0.02315797,0.04631573,0,0.0595246,0,0,0.5,0.0383951682484902
0.5,0.5,0.3,0.68,0,1.1,0.328022492970947,0.4,0,1.9e-06,2.24e-06,0,0.14132944,0.43121029,0,0.22176904,0,0,4.4e-07,3.9e-07,3.8e-07,0,0.03548931,0.07097823,0,0.09921833,0,0,0.5,0.0346117867165575
0.5,0.5,0.4,0.64,0,1.1,0.289017341040463,0.4,0,1.91e-06,2.45e-06,0,0.11455619,0.38057545,0,0.21321666,0,0,7.6e-07,5.9e-07,6.4e-07,0,0.04750611,0.09501162,0,0.14912761,0,0,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0,1.1,0.24390243902439,0.4,0,2.05e-06,2.92e-06,0,0.0867289,0.32388704,0,0.20230952,0,0,1.39e-06,8.8e-07,1.08e-06,0,0.05798876,0.11597664,0,0.21310083,0,0,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0,1.1,0.194552529182879,0.4,0,2.21e-06,3.62e-06,0,0.05960891,0.26167282,0,0.18724238,0,0,2.65e-06,1.29e-06,1.85e-06,0,0.06505824,0.1301152,0,0.29629083,0,0,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0,1.1,0.143266475644699,0.4,0,2.15e-06,4.19e-06,0,0.03544031,0.19546042,0,0.16518207,0,0,4.96e-06,1.66e-06,2.91e-06,0,0.06615653,0.1323114,0,0.4054334,0,0,0.499999999999999,0.020506634499397
0.5,0.5,0.8,0.48,0,1.1,0.0924214417744916,0.4,0,1.43e-06,3.43e-06,0,0.01660621,0.12830163,0,0.13149192,0,0,7.3e-06,1.43e-06,3.19e-06,0,0.05840798,0.11681453,0,0.54836097,0,0,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0,1.1,0.0441306266548985,0.4,0,6.6e-07,1.95e-06,0,0.00486691,0.06542904,0,0.07911914,0,0,1.002e-05,8.5e-07,2.41e-06,0,0.0398217,0.07964255,0,0.73110475,0,0,0.499999999999999,0.0166453265044814
0.5,0.5,0,0.8,0,0.975,0.4,0.4,0,2.19e-06,2.57e-06,0,0.18397808,0.54010602,0,0.27591114,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.975,0.383631713554987,0.4,0,2.1e-06,2.54e-06,0,0.16702971,0.50333912,0,0.26451887,0,0,1.3e-07,1.2e-07,1.2e-07,0,0.0115655,0.02313088,0,0.0304109,0,0,0.5,0
0.5,0.5,0.2,0.72,0,0.975,0.359712230215827,0.4,0,2.02e-06,2.54e-06,0,0.14713359,0.46218872,0,0.25384008,0,0,2.9e-07,2.6e-07,2.7e-07,0,0.02363845,0.04727664,0,0.06591713,0,0,0.5,0
0.5,0.5,0.3,0.68,0,0.975,0.328022492970947,0.4,0,2.35e-06,3.13e-06,0,0.12453921,0.41595266,0,0.24326343,0,0,6.1e-07,5e-07,5.6e-07,0,0.03581768,0.07163485,0,0.10878502,0,0,0.5,0
0.5,0.5,0.4,0.64,0,0.975,0.289017341040463,0.4,0,2.25e-06,3.26e-06,0,0.09991295,0.36412996,0,0.23189223,0,0,1e-06,7.2e-07,8.7e-07,0,0.04734029,0.09467986,0,0.1620366,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.975,0.24390243902439,0.4,0,2.48e-06,4.02e-06,0,0.07443066,0.30661049,0,0.21844855,0,0,1.89e-06,1.1e-06,1.53e-06,0,0.05692619,0.11385129,0,0.2297218,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.975,0.194552529182879,0.4,0,2.93e-06,5.5e-06,0,0.04980358,0.24390188,0,0.2010545,0,0,3.97e-06,1.75e-06,2.89e-06,0,0.06263576,0.12526976,0,0.31731748,0,0,0.5,0
