"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.4,0.4,0,8e-06,8e-06,0,0.206149,0.550115,0,0.243721,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0,1.1,0.383631713554987,0.4,0,5e-06,5e-06,0,0.187542,0.515315,0,0.236323,0,0,0,0,0,0,0.011214,0.022427,0,0.027168,0,0,0.5,0.04203013481364
0.5,0.5,0.2,0.72,0,1.1,0.359712230215827,0.4,0,9e-06,1e-05,0,0.165867,0.475928,0,0.229187,0,0,1e-06,1e-06,1e-06,0,0.023158,0.046315,0,0.059524,0,0,0.5,0.0383951682484902
0.5,0.5,0.3,0.68,0,1.1,0.328022492970947,0.4,0,1.1e-05,1.3e-05,0,0.141327,0.431199,0,0.221762,0,0,3e-06,2e-06,2e-06,0,0.03549,0.070976,0,0.099216,0,0,0.5,0.0346117867165575
0.5,0.5,0.4,0.64,0,1.1,0.289017341040463,0.4,0,1.2e-05,1.5e-05,0,0.114555,0.380564,0,0.213206,0,0,5e-06,4e-06,4e-06,0,0.047508,0.095008,0,0.149122,0,0,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0,1.1,0.24390243902439,0.4,0,1e-05,1.4e-05,0,0.086731,0.323881,0,0.202297,0,0,7e-06,4e-06,5e-06,0,0.057991,0.115973,0,0.21309,0,0,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0,1.1,0.194552529182879,0.4,0,1e-05,1.6e-05,0,0.059615,0.261675,0,0.187223,0,0,1.2e-05,6e-06,8e-06,0,0.065063,0.130113,0,0.296265,0,0,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0,1.1,0.143266475644699,0.4,0,1.2e-05,2.3e-05,0,0.035456,0.195486,0,0.165141,0,0,2.7e-05,9e-06,1.6e-05,0,0.066172,0.132319,0,0.405348,0,0,0.499999999999999,0.020506634499397
0.5,0.5,0.8,0.48,0,1.1,0.0924214417744916,0.4,0,9e-06,2.1e-05,0,0.016631,0.128378,0,0.131433,0,0,4.4e-05,9e-06,1.9e-05,0,0.058448,0.116868,0,0.548151,0,0,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0,1.1,0.0441306266548985,0.4,0,6e-06,1.7e-05,0,0.004898,0.065619,0,0.079046,0,0,8.6e-05,8e-06,2.1e-05,0,0.039939,0.079849,0,0.730524,0,0,0.499999999999999,0.0166453265044814
0.5,0.5,0,0.8,0,0.95,0.4,0.4,0,1e-05,1.2e-05,0,0.179258,0.537549,0,0.283172,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.95,0.383631713554987,0.4,0,1.3e-05,1.6e-05,0,0.16271,0.500439,0,0.270805,0,0,1e-06,1e-06,1e-06,0,0.011628,0.023254,0,0.031133,0,0,0.5,0
0.5,0.5,0.2,0.72,0,0.95,0.359712230215827,0.4,0,1.4e-05,1.8e-05,0,0.143233,0.458987,0,0.259278,0,0,2e-06,2e-06,2e-06,0,0.023715,0.047427,0,0.067325,0,0,0.5,0
0.5,0.5,0.3,0.68,0,0.95,0.328022492970947,0.4,0,1.4e-05,1.9e-05,0,0.121087,0.412504,0,0.247955,0,0,4e-06,3e-06,3e-06,0,0.03585,0.071694,0,0.110869,0,0,0.5,0
0.5,0.5,0.4,0.64,0,0.95,0.289017341040463,0.4,0,1.7e-05,2.5e-05,0,0.096942,0.360495,0,0.235925,0,0,8e-06,5e-06,7e-06,0,0.047258,0.094505,0,0.164818,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.95,0.24390243902439,0.4,0,1.4e-05,2.3e-05,0,0.071976,0.302871,0,0.2219,0,0,1.1e-05,6e-06,9e-06,0,0.056649,0.113283,0,0.233265,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.95,0.194552529182879,0.4,0,1.3e-05,2.5e-05,0,0.047887,0.240126,0,0.203975,0,0,1.8e-05,8e-06,1.3e-05,0,0.062073,0.124125,0,0.321745,0,0,0.5,0
0.5,0.5,0.7,0.52,0,0.95,0.143266475644699,0.4,0,1.3e-05,3e-05,0,0.026813,0.173698,0,0.179128,0,0,3.5e-05,1e-05,2.1e-05,0,0.060891,0.121751,0,0.437622,0,0,0.499999999999999,0
0.5,0.5,0.8,0.48,0,0.95,0.0924214417744916,0.4,0,9e-06,2.8e-05,0,0.011011,0.106539,0,0.142321,0,0,5.8e-05,9e-06,2.7e-05,0,0.05011,0.100184,0,0.589719,0,0,0.499999999999999,0
0.5,0.5,0.9,0.44,0,0.95,0.0441306266548985,0.4,0,1.1e-05,5e-05,0,0.002179,0.044513,0,0.085481,0,0,0.000251,1.5e-05,6.3e-05,0,0.027985,0.055892,0,0.783594,0,0,0.499999999999999,0
0.5,0.5,0,0.8,0,0.9,0.4,0.4,0,1.1e-05,1.4e-05,0,0.169546,0.531797,0,0.298633,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.9,0.383631713554987,0.4,0,1.3e-05,1.7e-05,0,0.153875,0.494093,0,0.284123,0,0,1e-06,1e-06,1e-06,0,0.011739,0.023477,0,0.032661,0,0,0.5,0
0.5,0.5,0.2,0.72,0,0.9,0.359712230215827,0.4,0,1.4e-05,1.9e-05,0,0.135306,0.452118,0,0.270734,0,0,2e-06,2e-06,2e-06,0,0.023841,0.047677,0,0.070287,0,0,0.5,0
0.5,0.5,0.3,0.68,0,0.9,0.328022492970947,0.4,0,1.4e-05,2e-05,0,0.114113,0.40521,0,0.2578,0,0,4e-06,3e-06,4e-06,0,0.035869,0.071732,0,0.115233,0,0,0.5,0
0.5,0.5,0.4,0.64,0,0.9,0.289017341040463,0.4,0,1.6e-05,2.5e-05,0,0.090979,0.352902,0,0.244366,0,0,8e-06,5e-06,7e-06,0,0.047029,0.094047,0,0.170621,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.9,0.24390243902439,0.4,0,1.5e-05,2.6e-05,0,0.067076,0.295109,0,0.229107,0,0,1.2e-05,7e-06,1e-05,0,0.056008,0.111999,0,0.240637,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.9,0.194552529182879,0.4,0,1.3e-05,2.6e-05,0,0.044077,0.232309,0,0.21009,0,0,1.9e-05,8e-06,1.4e-05,0,0.060833,0.121644,0,0.330975,0,0,0.5,0
0.5,0.5,0.7,0.52,0,0.9,0.143266475644699,0.4,0,1.6e-05,4e-05,0,0.024097,0.165917,0,0.184185,0,0,4.6e-05,1.3e-05,2.9e-05,0,0.058843,0.117644,0,0.449187,0,0,0.499999999999999,0
0.5,0.5,0.8,0.48,0,0.9,0.0924214417744916,0.4,0,1.6e-05,5.5e-05,0,0.009369,0.09894,0,0.14616,0,0,0.000114,1.7e-05,5.3e-05,0,0.047044,0.094019,0,0.604242,0,0,0.499999999999999,0
0.5,0.5,0.9,0.44,0,0.9,0.0441306266548985,0.4,0,2e-05,0.00011,0,0.001592,0.03823,0,0.087393,0,0,0.000552,2.7e-05,0.00014,0,0.024296,0.048425,0,0.799287,0,0,0.499999999999999,0
0.5,0.5,0,0.8,0.01,1.1,0.4,0.4,0.003326,0.04954,0.055177,0.00419,0.156418,0.448619,0.028889,0.216254,0.036316,0.001272,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0.01,1.1,0.383631713554987,0.4,0.003245,0.046329,0.05341,0.004134,0.140253,0.41574,0.027282,0.207957,0.035547,0.001267,0.00301,0.002761,0.002579,0.000183,0.011602,0.018235,0.000186,0.025379,0.001398,0.000698,0.5,0.04203013481364
0.5,0.5,0.2,0.72,0.01,1.1,0.359712230215827,0.4,0.003134,0.042511,0.051353,0.004074,0.122112,0.379368,0.025472,0.199461,0.034905,0.001271,0.006553,0.005595,0.005513,0.000402,0.023715,0.037078,0.000379,0.055027,0.003089,0.001556,0.5,0.0383951682484902
0.5,0.5,0.3,0.68,0.01,1.1,0.328022492970947,0.4,0.002954,0.037953,0.048624,0.00396,0.102789,0.339976,0.023311,0.190177,0.034129,0.001268,0.010725,0.008308,0.008761,0.000657,0.035893,0.055858,0.000571,0.090414,0.005151,0.002618,0.5,0.0346117867165575
0.5,0.5,0.4,0.64,0.01,1.1,0.289017341040463,0.4,0.002659,0.032599,0.044744,0.003724,0.083381,0.298592,0.020695,0.179367,0.032899,0.001235,0.015516,0.010594,0.012105,0.000927,0.04743,0.073668,0.000753,0.133301,0.0076,0.003887,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0.01,1.1,0.24390243902439,0.4,0.002218,0.026533,0.039294,0.003323,0.064882,0.256362,0.017681,0.166233,0.031055,0.001161,0.020709,0.012069,0.015069,0.001169,0.057362,0.089415,0.000915,0.185925,0.010383,0.005319,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0.01,1.1,0.194552529182879,0.4,0.001658,0.020074,0.032225,0.002775,0.047852,0.213833,0.014448,0.149838,0.028676,0.001054,0.025905,0.012384,0.016964,0.001332,0.064471,0.101675,0.00104,0.251484,0.013419,0.006855,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0.01,1.1,0.143266475644699,0.4,0.001063,0.013704,0.023916,0.002147,0.032461,0.170621,0.011183,0.128844,0.02602,0.000933,0.030591,0.011338,0.017025,0.001376,0.067179,0.108209,0.001107,0.335082,0.016685,0.008477,0.499999999999999,0.020506634499397
0.5,0.5,0.8,0.48,0.01,1.1,0.0924214417744916,0.4,0.000537,0.007944,0.015055,0.001513,0.018809,0.125393,0.007962,0.100987,0.023359,0.000819,0.034094,0.008928,0.014531,0.001282,0.063154,0.104996,0.001073,0.44578,0.020273,0.010241,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0.01,1.1,0.0441306266548985,0.4,0.000164,0.003244,0.006532,0.00092,0.007287,0.075037,0.004659,0.061958,0.02097,0.000727,0.034898,0.00528,0.008891,0.001035,0.047877,0.083286,0.000852,0.603486,0.024551,0.012367,0.499999999999999,0.0166453265044814
0.5,0.5,0,0.8,0.01,0.95,0.4,0.4,0.243306,0.002907,0.502039,0.002521,9e-06,0.003003,1.5e-05,0.243743,0.002451,6e-06,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0.01,0.95,0.383631713554987,0.4,0.006021,0.055384,0.076853,0.005268,0.112666,0.3816,0.023123,0.231821,0.034676,0.001131,0.004434,0.00347,0.003859,0.000249,0.012418,0.017873,0.000183,0.02861,0.001445,0.000755,0.5,0
0.5,0.5,0.2,0.72,0.01,0.95,0.359712230215827,0.4,0.005463,0.049629,0.070998,0.004924,0.099184,0.348206,0.021236,0.218508,0.03307,0.001086,0.009253,0.006818,0.007882,0.000513,0.024999,0.036037,0.000369,0.060878,0.003088,0.001616,0.5,0
0.5,0.5,0.3,0.68,0.01,0.95,0.328022492970947,0.4,0.004802,0.043222,0.06438,0.004505,0.084837,0.313033,0.019095,0.204913,0.031308,0.001029,0.01446,0.009798,0.011923,0.000783,0.037294,0.053973,0.000553,0.098221,0.004961,0.002595,0.5,0
0.5,0.5,0.4,0.64,0.01,0.95,0.289017341040463,0.4,0.004007,0.036193,0.056624,0.003982,0.070253,0.276728,0.016718,0.190464,0.029291,0.000954,0.019917,0.012086,0.015649,0.00103,0.048643,0.071007,0.000728,0.142434,0.007069,0.003685,0.5,0
0.5,0.5,0.5,0.6,0.01,0.95,0.24390243902439,0.4,0.003103,0.028755,0.047631,0.003358,0.055897,0.239627,0.014167,0.174468,0.027003,0.000863,0.025358,0.013345,0.018552,0.001218,0.058178,0.086226,0.000883,0.195959,0.009383,0.004859,0.5,0
0.5,0.5,0.6,0.56,0.01,0.95,0.194552529182879,0.4,0.002174,0.0213,0.037658,0.002676,0.042036,0.201508,0.011524,0.155939,0.024506,0.000761,0.030467,0.013327,0.020035,0.001316,0.064781,0.098212,0.001005,0.262335,0.011866,0.006088,0.5,0
0.5,0.5,0.7,0.52,0.01,0.95,0.143266475644699,0.4,0.001326,0.014284,0.027188,0.00199,0.028873,0.161646,0.008853,0.133373,0.021885,0.000656,0.034901,0.011927,0.019474,0.001302,0.066928,0.104594,0.00107,0.34711,0.014472,0.007352,0.499999999999999,0
