"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.1,0.1,0,1.137e-05,2.283e-05,0,0.10020458,0.45326646,0,0.44649476,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0,1.1,0.0951776649746193,0.1,0,1.186e-05,2.484e-05,0,0.0868861,0.4097516,0,0.42131532,0,0,9.6e-07,6.3e-07,1.25e-06,0,0.01028538,0.02057012,0,0.05115194,0,0,0.499999999999999,0.04203013481364
0.5,0.5,0.2,0.72,0,1.1,0.088261253309797,0.1,0,1.192e-05,2.646e-05,0,0.07263375,0.36313382,0,0.39571194,0,0,2.32e-06,1.4e-06,2.96e-06,0,0.02020191,0.04040242,0,0.10787112,0,0,0.500000000000001,0.0383951682484902
0.5,0.5,0.3,0.68,0,1.1,0.0793291024478695,0.1,0,1.211e-05,2.904e-05,0,0.0578886,0.31355754,0,0.36909348,0,0,4.41e-06,2.36e-06,5.42e-06,0,0.02916255,0.05832274,0,0.17192174,0,0,0.500000000000001,0.0346117867165575
0.5,0.5,0.4,0.64,0,1.1,0.0686813186813187,0.1,0,1.205e-05,3.194e-05,0,0.0433202,0.26153964,0,0.34048673,0,0,7.65e-06,3.5e-06,8.91e-06,0,0.03636887,0.07273424,0,0.24548628,0,0,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0,1.1,0.0568181818181818,0.1,0,1.145e-05,3.456e-05,0,0.02981346,0.20820275,0,0.30833075,0,0,1.269e-05,4.66e-06,1.361e-05,0,0.04084568,0.08168669,0,0.33104369,0,0,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0,1.1,0.0443655723158829,0.1,0,1.074e-05,3.804e-05,0,0.01836402,0.15560121,0,0.27020276,0,0,2.162e-05,5.93e-06,2.042e-05,0,0.04162994,0.08325394,0,0.43085137,0,0,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0,1.1,0.0319693094629156,0.1,0,7.47e-06,3.183e-05,0,0.00981013,0.10697385,0,0.22274655,0,0,2.949e-05,5.48e-06,2.282e-05,0,0.03822926,0.07645304,0,0.54569006,0,0,0.500000000000001,0.020506634499397
0.5,0.5,0.8,0.48,0,1.1,0.0201938610662359,0.1,0,4.58e-06,2.309e-05,0,0.00441559,0.06627003,0,0.16244042,0,0,3.928e-05,4.4e-06,2.184e-05,0,0.03124505,0.0624857,0,0.67305003,0,0,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0,1.1,0.0094553706505295,0.1,0,2.52e-06,1.26e-05,0,0.00164092,0.03640064,0,0.08762558,0,0,5.311e-05,3.16e-06,1.562e-05,0,0.02249707,0.04499099,0,0.80675778,0,0,0.499999999999998,0.0166453265044814
0.5,0.5,0,0.8,0.005,1.1,0.1,0.1,0.03864362,0.08827705,0.20399416,0.02406958,0.04655969,0.23638059,0.02575921,0.26847329,0.06428954,0.00355325,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0.005,1.1,0.0951776649746193,0.1,0.03648404,0.0781371,0.19209598,0.02226636,0.03867081,0.20863227,0.02235408,0.25217892,0.05930751,0.00322206,0.01174616,0.00425806,0.00988417,0.00112758,0.00738103,0.01056274,5.874e-05,0.0366889,0.00293937,0.0020041,0.499999999999999,0.04203013481364
0.5,0.5,0.2,0.72,0.005,1.1,0.088261253309797,0.1,0.03361727,0.06678652,0.17878064,0.02016556,0.03063771,0.18008192,0.01876143,0.237081,0.05424618,0.00286499,0.02453053,0.00804499,0.02037359,0.00226193,0.01406344,0.02019473,0.00011284,0.0773646,0.00597039,0.00405974,0.500000000000001,0.0383951682484902
0.5,0.5,0.3,0.68,0.005,1.1,0.0793291024478695,0.1,0.02985284,0.05442876,0.1634852,0.01769831,0.02283606,0.15112193,0.01505835,0.22327508,0.04902988,0.00247649,0.0381562,0.01092512,0.03111724,0.00331573,0.01953604,0.02830587,0.0001589,0.12407734,0.00904417,0.0061005,0.500000000000001,0.0346117867165575
0.5,0.5,0.4,0.64,0.005,1.1,0.0686813186813187,0.1,0.02501594,0.0414575,0.1453799,0.0148543,0.01568398,0.12218307,0.01139797,0.21072391,0.04368704,0.00206618,0.05199667,0.01239832,0.04132599,0.00415566,0.02319004,0.03417437,0.00019261,0.18000919,0.01208389,0.00802347,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0.005,1.1,0.0568181818181818,0.1,0.01906802,0.02855618,0.12333379,0.01171605,0.0096041,0.09374333,0.00799639,0.1989886,0.0383871,0.00166103,0.06458692,0.01201386,0.04940477,0.00461734,0.02437057,0.03693609,0.00020881,0.25006339,0.01502626,0.0097174,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0.005,1.1,0.0443655723158829,0.1,0.01237632,0.01680715,0.09619612,0.00847066,0.0049613,0.06641268,0.00507979,0.18652076,0.03341345,0.00129787,0.07306711,0.00963877,0.05250171,0.00454546,0.02253305,0.03562921,0.00020188,0.34133874,0.01789079,0.01111719,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0.005,1.1,0.0319693094629156,0.1,0.00597044,0.0075395,0.06372058,0.00537065,0.00193549,0.04103589,0.00280589,0.16965514,0.02918758,0.00101531,0.07241336,0.00581449,0.04643678,0.00384373,0.01750462,0.0293616,0.00016686,0.46298823,0.02093029,0.01230358,0.500000000000001,0.020506634499397
0.5,0.5,0.8,0.48,0.005,1.1,0.0201938610662359,0.1,0.00138377,0.00175877,0.02808422,0.00256428,0.00039183,0.01830383,0.00116554,0.1421835,0.02665553,0.00086563,0.05273431,0.0018575,0.02702028,0.0024178,0.00950615,0.01725365,9.885e-05,0.62669789,0.0252648,0.01379187,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0.005,1.1,0.0094553706505295,0.1,1e-08,2e-08,6.575e-05,9.32e-06,0,4.525e-05,3e-06,0.09066226,0.02666176,0.00090282,0.00027497,6.1e-07,8.292e-05,1.149e-05,2.8e-05,5.572e-05,3.4e-07,0.83153092,0.03310618,0.01655866,0.499999999999998,0.0166453265044814
0.5,0.5,0,0.8,0.01,1.1,0.1,0.1,0.08191782,0.10152986,0.26011817,0.0473665,0.02940553,0.16335924,0.02780755,0.20592259,0.07601653,0.00655622,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0.01,1.1,0.0951776649746193,0.1,0.07584101,0.08821005,0.24338156,0.0427942,0.0239929,0.14340105,0.02358849,0.1947349,0.06939589,0.00578235,0.01834365,0.00487874,0.01265574,0.00216462,0.00601744,0.00725124,9.51e-05,0.03119192,0.00349628,0.0027829,0.499999999999999,0.04203013481364
0.5,0.5,0.2,0.72,0.01,1.1,0.088261253309797,0.1,0.0683613,0.07378059,0.2252782,0.03772501,0.01860376,0.12315067,0.01927412,0.18511566,0.06281724,0.00497939,0.03769075,0.0090217,0.02593175,0.00422406,0.01131233,0.01378485,0.00018189,0.06620896,0.00702445,0.00553331,0.500000000000001,0.0383951682484902
0.5,0.5,0.3,0.68,0.01,1.1,0.0793291024478695,0.1,0.05922344,0.0585504,0.20521381,0.03216209,0.01347326,0.10276504,0.01499628,0.17733116,0.05632048,0.0041627,0.05750833,0.01193488,0.03943101,0.00601012,0.01543898,0.01919767,0.0002546,0.10732714,0.01054724,0.00815138,0.500000000000001,0.0346117867165575
0.5,0.5,0.4,0.64,0.01,1.1,0.0686813186813187,0.1,0.0481478,0.04298713,0.18209745,0.02619363,0.00885866,0.08238137,0.01094087,0.17177088,0.05009044,0.00337038,0.07650537,0.01306919,0.05222449,0.00730285,0.01786218,0.02296083,0.00030566,0.15835553,0.01405111,0.01052415,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0.01,1.1,0.0568181818181818,0.1,0.0351287,0.02792619,0.15412339,0.0199954,0.00503895,0.06214163,0.00731802,0.16867116,0.04440602,0.00265135,0.09191109,0.01197432,0.06225905,0.0078463,0.01801278,0.02437668,0.00032545,0.22572866,0.01760295,0.0125619,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0.01,1.1,0.0443655723158829,0.1,0.02100568,0.01472081,0.11874509,0.01380384,0.00226519,0.04228347,0.00431382,0.16745354,0.039579,0.0020499,0.09835821,0.00865871,0.06533929,0.0073692,0.01546084,0.02256532,0.00030234,0.32006214,0.02142013,0.0142435,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0.01,1.1,0.0319693094629156,0.1,0.00810769,0.00502622,0.07338153,0.00782073,0.00063937,0.02319113,0.00202441,0.16568617,0.03602969,0.00159983,0.08567201,0.00405609,0.05391718,0.00556395,0.01016319,0.01649307,0.00022278,0.45865948,0.02604994,0.01569556,0.500000000000001,0.020506634499397
0.5,0.5,0.8,0.48,0.01,1.1,0.0201938610662359,0.1,0.00042063,0.00024016,0.01637298,0.00175889,2.425e-05,0.00479277,0.00036229,0.15898094,0.03505856,0.00135153,0.02895953,0.00032873,0.01588625,0.0016471,0.00237665,0.00448652,6.195e-05,0.6760063,0.03339427,0.01748971,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0.01,1.1,0.0094553706505295,0.1,0,0,3.033e-05,4.3e-06,0,7.95e-06,5.3e-07,0.09070236,0.02668988,0.00090435,0.00012685,2.6e-07,3.827e-05,5.22e-06,4.87e-06,9.64e-06,1.5e-07,0.83176029,0.03314148,0.01657328,0.499999999999998,0.0166453265044814
