"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1,0.1,0.1,0,1.687e-05,4.563e-05,0,0.06831618,0.39965922,0,0.5319621,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,1,0.0951776649746193,0.1,0,1.7e-05,4.766e-05,0,0.05904232,0.35850573,0,0.49470531,0,0,1.77e-06,9.4e-07,2.5e-06,0,0.00939949,0.01879805,0,0.05947924,0,0,0.499999999999999,0
0.5,0.5,0.2,0.72,0,1,0.088261253309797,0.1,0,1.69e-05,5.012e-05,0,0.04880117,0.31418525,0,0.45860313,0,0,4.21e-06,2.06e-06,5.82e-06,0,0.01819453,0.036387,0,0.12374983,0,0,0.500000000000001,0
0.5,0.5,0.3,0.68,0,1,0.0793291024478695,0.1,0,1.706e-05,5.491e-05,0,0.03803141,0.2669375,0,0.4228415,0,0,8e-06,3.45e-06,1.062e-05,0,0.02575603,0.05150861,0,0.19483091,0,0,0.500000000000001,0
0.5,0.5,0.4,0.64,0,1,0.0686813186813187,0.1,0,1.63e-05,5.882e-05,0,0.02738228,0.21741256,0,0.38615838,0,0,1.355e-05,4.88e-06,1.695e-05,0,0.03126219,0.0625195,0,0.27515459,0,0,0.5,0
0.5,0.5,0.5,0.6,0,1,0.0568181818181818,0.1,0,1.609e-05,6.791e-05,0,0.01768302,0.16693412,0,0.3465901,0,0,2.402e-05,6.74e-06,2.752e-05,0,0.03376307,0.0675194,0,0.36736801,0,0,0.5,0
0.5,0.5,0.6,0.56,0,1,0.0443655723158829,0.1,1e-08,1.635e-05,8.508e-05,0,0.00981006,0.11786444,0,0.3011936,0,0,4.673e-05,9.27e-06,4.688e-05,0,0.03242736,0.06484545,0,0.47365478,0,0,0.5,0
0.5,0.5,0.7,0.52,0,1,0.0319693094629156,0.1,1e-08,1.258e-05,8.572e-05,0,0.00438875,0.07376153,0,0.24612454,0,0,7.701e-05,9.44e-06,6.296e-05,0,0.02705878,0.05410812,0,0.59431057,0,0,0.500000000000001,0
0.5,0.5,0.8,0.48,0,1,0.0201938610662359,0.1,1e-08,7.97e-06,7.562e-05,0,0.00142037,0.0385016,0,0.17778053,0,0,0.00012532,7.84e-06,7.321e-05,0,0.0186222,0.03723657,0,0.72614877,0,0,0.499999999999999,0
0.5,0.5,0.9,0.44,0,1,0.0094553706505295,0.1,1e-08,4.41e-06,6.116e-05,0,0.00024173,0.01420803,0,0.09501511,0,0,0.00025274,5.65e-06,7.766e-05,0,0.00901862,0.0180316,0,0.8630833,0,0,0.499999999999998,0
